Site Name,Latitude,Longitude,Altitude,Image
Stables,1.1147,37.460833,851,assets/images/IMG_0022.JPG
Reteti House - New Water Point,1.1127,37.4543,845.1,assets/images/IMG_0055.JPG
Releasing Pan,1.119,37.4706,841.8,
Nelmasuuti 3,1.1173,37.4669,841.8,
Ltepes Corridor,1.1136,37.47,805.1,assets/images/IMG_0089.JPG
Elephant Rock 4 - New Site,1.1145,37.469,840.8,
Release Corridor 2,1.1144,37.476,812.5,
Nkutoto,1.1177,37.47,841.8,
Nelmasuuti 5,1.1164,37.4691,806.2,
Lchura,1.1124,37.4741,798.5,
Safaricom Rock,1.1185,37.4634,854.2,assets/images/IMG_0161.jpg
Safaricom Rock 2,1.1159,37.4647,841.8,
Ltorot Lolgiria,1.1151,37.4648,841.8,
Ltorot Lolgiria 2,1.1135,37.4649,841.8,
Nelmasuuti 2,1.1172,37.4659,841.8,
Nelmasuuti 1,1.1177,37.4655,841.8,
Lawa2,1.1184,37.4568,841.8,
Lawa,1.1185,37.456,841.8,
Lawa4,1.1201,37.4575,864.6,
Soito Naarok,1.1203,37.4588,868.1,
Soito Naarok Waterpoint,1.1199,37.46,841.8,
Football Field Resting Place,1.1123,37.4604,836.2,
Reteti Old Road,1.1118,37.4613,826.7,
Nkapune Rock Cave,1.1055,37.4599,809.7,
Reteti House Road Corridor,1.1071,37.4568,831.3,
Reteti House Lawai Resting,1.111,37.4543,852.8,assets/images/IMG_0191.JPG
Nelmasuuti 6,1.1168,37.4677,800.8,
Ltepes Corridor 2,1.1161,37.4678,802.5,
Nkutoto Elmasuuti 4,1.12104,37.46904,800,assets/images/0230.JPG
Nkutoto Elmasuuti 3,1.12,37.46806,,
Lesiteti,1.12133,37.46534,,
Quarantine,1.12,37.46,,
Singing Wells 1,1.0438,37.4096,857.2,
Singing Wells 2,1.0444,37.4089,845.8,
Sarara Naado,1.0581,37.4077,845.6,assets/images/IMG_0775.JPG
Lmurgusiani (Lturoto),1.0214,37.4019,845.6,
Nkongu,1.0142,37.4037,,
